name,ra_Deg,dec_Deg,OBS_ID,PN_DATE_OBS
1H 1934-063,294.387542,-6.218,0761870201,2015-10-01
3C 120,68.296231,5.354339,0693781601,2013-02-06
3C 120,68.296231,5.354339,0693781601_1,2013-02-07
Ark 120,79.047588,-0.149827,0721600301,2014-03-20
Ark 120,79.047588,-0.149827,0721600501,2014-03-24
Ark 564,340.663939,29.725364,0670130501,2011-06-11
ESO 362-G18,79.89916,-32.657585,0610180101,2010-01-29
ESO 511-G030,214.843417,-26.644722,0502090201,2007-08-05
IRAS 13349+2438,204.328028,24.384272,0402080301,2006-07-16
IRAS 18325-5926,279.242875,-59.402389,0724820101,2013-09-04
IRAS 18325-5926,279.242875,-59.402389,0724820201,2013-10-15
IRAS 18325-5926,279.242875,-59.402389,0795690101,2017-09-09
MCG-5-23-16,146.917319,-30.948734,0112830401,2001-12-01
MCG-5-23-16,146.917319,-30.948734,0302850201,2005-12-08
MCG-5-23-16,146.917319,-30.948734,0727960101,2013-06-24
MCG-5-23-16,146.917319,-30.948734,0727960201,2013-06-26
MCG-6-30-15,203.973778,-34.295538,0029740101,2001-07-31
MCG-6-30-15,203.973778,-34.295538,0029740701,2001-08-02
MCG-6-30-15,203.973778,-34.295538,0029740801,2001-08-04
MCG-6-30-15,203.973778,-34.295538,0111570101,2000-07-11
MCG-6-30-15,203.973778,-34.295538,0111570201,2000-07-11
MCG-6-30-15,203.973778,-34.295538,0693781201,2013-01-29
MCG-6-30-15,203.973778,-34.295538,0693781301,2013-01-31
MCG-6-30-15,203.973778,-34.295538,0693781401,2013-02-02
Mrk 1040,37.060317,31.311658,0554990101,2009-02-13
Mrk 1040,37.060317,31.311658,0760530201,2015-08-13
Mrk 1040,37.060317,31.311658,0760530301,2015-08-15
Mrk 1044,37.52302,-8.998136,0695290101,2013-01-27
Mrk 1044,37.52302,-8.998136,0824080301,2018-08-03
Mrk 1044,37.52302,-8.998136,0824080401,2018-08-05
Mrk 1044,37.52302,-8.998136,0824080501,2018-08-07
Mrk 1044,37.52302,-8.998136,0841820201,2019-08-03
Mrk 335,1.581339,20.202914,0306870101,2006-01-03
Mrk 335,1.581339,20.202914,0600540601,2009-06-11
Mrk 335,1.581339,20.202914,0741280201,2015-12-30
Mrk 509,311.040577,-10.723484,0601390501,2009-10-29
Mrk 509,311.040577,-10.723484,0601390801,2009-11-10
Mrk 509,311.040577,-10.723484,0601391001,2009-11-18
Mrk 766,184.610456,29.812872,0096020101,2000-05-20
Mrk 766,184.610456,29.812872,0109141301,2001-05-20
Mrk 766,184.610456,29.812872,0304030101,2005-05-23
Mrk 766,184.610456,29.812872,0304030301,2005-05-25
Mrk 766,184.610456,29.812872,0304030401,2005-05-27
Mrk 766,184.610456,29.812872,0304030501,2005-05-29
Mrk 766,184.610456,29.812872,0304030601,2005-05-31
Mrk 841,226.005003,10.43782,0205340201,2005-01-16
NGC 1365,53.401548,-36.140402,0205590301,2004-01-17
NGC 1365,53.401548,-36.140402,0205590401,2004-07-24
NGC 1365,53.401548,-36.140402,0692840201,2012-07-25
NGC 1365,53.401548,-36.140402,0692840301,2012-12-24
NGC 1365,53.401548,-36.140402,0692840401,2013-01-23
NGC 1365,53.401548,-36.140402,0692840501,2013-02-12
NGC 1566,65.00166,-54.93777,0800840201,2018-06-27
NGC 1566,65.00166,-54.93777,0820530401,2018-10-04
NGC 2992,146.425211,-14.326382,0654910501,2010-05-26
NGC 3227,155.877412,19.86505,0101040301,2000-11-28
NGC 3227,155.877412,19.86505,0400270101,2006-12-03
NGC 3227,155.877412,19.86505,0782520201,2016-11-09
NGC 3227,155.877412,19.86505,0782520201_1,2016-11-10
NGC 3227,155.877412,19.86505,0782520301,2016-11-25
NGC 3227,155.877412,19.86505,0782520401,2016-11-29
NGC 3227,155.877412,19.86505,0782520501,2016-12-01
NGC 3227,155.877412,19.86505,0782520601,2016-12-05
NGC 3227,155.877412,19.86505,0782520701,2016-12-09
NGC 3516,166.697876,72.568577,0107460601,2001-04-10
NGC 3516,166.697876,72.568577,0107460701,2001-11-09
NGC 3516,166.697876,72.568577,0401210401,2006-10-06
NGC 3516,166.697876,72.568577,0401210501,2006-10-08
NGC 3516,166.697876,72.568577,0401210601,2006-10-10
NGC 3516,166.697876,72.568577,0401211001,2006-10-12
NGC 3783,174.757342,-37.73867,0112210201,2001-12-17
NGC 3783,174.757342,-37.73867,0112210201_1,2001-12-18
NGC 3783,174.757342,-37.73867,0112210501,2001-12-19
NGC 3783,174.757342,-37.73867,0780860901,2016-12-11
NGC 3783,174.757342,-37.73867,0780861001,2016-12-21
NGC 4051,180.79006,44.531334,0109141401,2001-05-16
NGC 4051,180.79006,44.531334,0157560101,2002-11-22
NGC 4051,180.79006,44.531334,0606320101,2009-05-03
NGC 4051,180.79006,44.531334,0606320201,2009-05-05
NGC 4051,180.79006,44.531334,0606320401,2009-05-11
NGC 4051,180.79006,44.531334,0606321301,2009-05-15
NGC 4051,180.79006,44.531334,0606321401,2009-05-17
NGC 4051,180.79006,44.531334,0606321501,2009-05-19
NGC 4051,180.79006,44.531334,0606321601,2009-05-21
NGC 4051,180.79006,44.531334,0606321701,2009-05-27
NGC 4051,180.79006,44.531334,0606321801,2009-05-29
NGC 4051,180.79006,44.531334,0606321901,2009-06-02
NGC 4051,180.79006,44.531334,0606322001,2009-06-04
NGC 4051,180.79006,44.531334,0606322101,2009-06-08
NGC 4051,180.79006,44.531334,0606322201,2009-06-10
NGC 4051,180.79006,44.531334,0830430201,2018-11-07
NGC 4051,180.79006,44.531334,0830430801,2018-11-09
NGC 4151,182.635745,39.40573,0112830201,2000-12-22
NGC 4151,182.635745,39.40573,0143500301,2003-05-27
NGC 4151,182.635745,39.40573,0761670101,2015-11-12
NGC 4151,182.635745,39.40573,0761670501,2015-11-20
NGC 4151,182.635745,39.40573,0761670601,2015-11-22
NGC 4151,182.635745,39.40573,0761670701,2015-12-16
NGC 4151,182.635745,39.40573,0761670901,2015-12-22
NGC 4395,186.453592,33.546928,0142830101,2003-11-30
NGC 4395,186.453592,33.546928,0744010101,2014-12-28
NGC 4593,189.914272,-5.344261,0059830101,2002-06-23
NGC 4593,189.914272,-5.344261,0740920201,2014-12-29
NGC 4593,189.914272,-5.344261,0740920601,2015-01-06
NGC 4593,189.914272,-5.344261,0784740101,2016-07-14
NGC 5273,205.5345,35.65417,0805080401,2017-06-02
NGC 5506,213.31205,-3.207577,0013140101,2001-02-02
NGC 5506,213.31205,-3.207577,0201830201,2004-07-11
NGC 5506,213.31205,-3.207577,0201830401,2004-07-22
NGC 5506,213.31205,-3.207577,0201830501,2004-08-07
NGC 5506,213.31205,-3.207577,0554170101,2009-01-02
NGC 5506,213.31205,-3.207577,0554170201,2008-07-27
NGC 5506,213.31205,-3.207577,0761220101,2015-07-08
NGC 5548,214.498058,25.13679,0089960301,2001-07-09
NGC 5548,214.498058,25.13679,0720110501,2013-07-07
NGC 5548,214.498058,25.13679,0720110601,2013-07-11
NGC 5548,214.498058,25.13679,0720110701,2013-07-15
NGC 5548,214.498058,25.13679,0720111101,2013-07-25
NGC 5548,214.498058,25.13679,0720111301,2013-07-29
NGC 5548,214.498058,25.13679,0720111501,2013-12-20
NGC 6814,295.6692,-10.3235,0550451801,2009-04-22
NGC 6814,295.6692,-10.3235,0764620101,2016-04-08
NGC 7314,338.942462,-26.050466,0111790101,2001-05-02
NGC 7314,338.942462,-26.050466,0311190101,2006-05-03
NGC 7314,338.942462,-26.050466,0725200101,2013-05-17
NGC 7314,338.942462,-26.050466,0725200301,2013-11-28
NGC 7314,338.942462,-26.050466,0790650101,2016-05-14
NGC 7469,345.815095,8.873997,0207090101,2004-11-30
NGC 7469,345.815095,8.873997,0207090201,2004-12-03
NGC 7469,345.815095,8.873997,0760350201,2015-06-12
NGC 7469,345.815095,8.873997,0760350501,2015-12-23
NGC 7469,345.815095,8.873997,0760350601,2015-12-24
NGC 7469,345.815095,8.873997,0760350701,2015-12-26
NGC 7469,345.815095,8.873997,0760350801,2015-12-28
PG 1211+143,183.573625,14.053639,0745110201,2014-06-16
PG 1211+143,183.573625,14.053639,0745110701,2014-07-07
SWIFT J2127.4+5654,321.937292,56.944361,0655450101,2010-11-29
SWIFT J2127.4+5654,321.937292,56.944361,0693781701,2012-11-04
SWIFT J2127.4+5654,321.937292,56.944361,0693781801,2012-11-06
SWIFT J2127.4+5654,321.937292,56.944361,0693781901,2012-11-08
